ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
510,-1379,14814,-961,-313,-417
510,20,14798,-929,-309,-329
765,-773,14328,-1017,-303,-389
1020,-686,14814,-945,-339,-355
510,-299,14551,-929,-327,-335
240,-1276,14575,-973,-261,-327
-327,-1009,15085,-953,-341,-319
-642,-335,14316,-969,-275,-419
510,-690,15101,-981,-293,-345
765,-781,14300,-969,-273,-341
765,255,14806,-881,-363,-345
132,510,14814,-953,-263,-333
212,-343,14535,-989,-311,-379
510,-1092,14838,-953,-261,-369
1020,-893,15077,-961,-265,-317
510,-710,14567,-981,-307,-359
-1052,-550,14814,-913,-317,-357
144,-359,14846,-1005,-387,-321
255,24,15061,-993,-331,-363
255,-758,14551,-969,-399,-361
510,-773,14543,-933,-347,-351
765,-550,15348,-933,-285,-329
-722,-682,15077,-901,3,-399
510,-997,15085,-941,-345,-351
16,-1180,14559,-973,-305,-365
216,-945,14583,-913,-293,-351
1279,-1443,15575,-961,26,-333
24,-1562,14535,-921,-331,-363
510,-1252,14296,-929,-351,-317
1279,-961,14583,-865,-281,-347
255,-379,15093,-913,-331,-351
255,-993,14567,-969,-343,-325
510,-1076,14559,-897,-373,-313
510,-1092,14559,-909,-351,-265
510,248,14822,-909,-333,-347
765,255,14814,-977,-369,-383
1020,-1036,14806,-977,-301,-393
765,-849,14822,-929,-271,-317
255,-423,14284,-977,-381,-355
765,765,15061,-1009,-367,-385
80,140,15348,-949,-345,-321
140,-263,14551,-917,-367,-359
765,196,14830,-965,-293,-395
-475,-419,14073,-989,-339,-399
255,-1283,15053,-929,-357,-363
255,255,14591,-973,-303,-313
255,-1052,15053,-1026,-385,-343
-407,-1052,15077,-913,-377,-391
765,-626,14790,-941,-355,-345
-407,-973,14073,-945,-375,-383
255,-921,14567,-905,50,-373
208,-1268,15053,-981,-401,-303
-267,140,15101,-893,-291,-341
255,510,15101,-909,-351,-349
72,220,14591,-901,-351,-343
765,24,14583,-985,-329,-335
510,-945,14559,-921,-379,-393
4,104,14822,-933,-287,-395
510,255,15101,-917,-379,-337
255,-734,14312,-909,26,-335
-347,-925,15053,-977,-359,-325
1020,-1076,14814,-993,-297,-319
-323,-407,14790,-913,-321,-325
255,92,14575,-993,-261,-307
-299,-443,14806,-985,-363,-339
132,-379,14567,-933,-315,-345
1020,164,14029,-933,-273,-369
255,-750,14806,-953,-423,-339
510,-1180,14846,-945,-347,-385
-499,-750,14567,-893,-379,-317
255,-698,14583,-913,-307,-367
76,-766,15069,-909,-393,-333
-1307,-622,14591,-897,-343,-339
255,-1164,14830,-929,1,-327
108,-829,14045,-901,11,-345
228,-403,14280,-897,-281,-319
255,255,14814,-941,-349,-333
-403,-526,14583,-905,-371,-341
1020,-307,14790,-953,-387,-339
765,-953,14551,-989,-315,-465
1275,-415,15053,-981,5,-343
248,-618,14814,-961,-311,-371
510,-343,15348,-933,-389,-287
1020,-646,14567,-869,-323,-333
255,-431,14806,-1013,-287,-279
28,12,15061,-897,-317,-327
-742,156,15324,-989,-297,-365
1020,-335,14591,-937,-309,-427
1020,-722,15077,-925,-281,-387
765,-865,14575,-901,-311,-359
510,-387,15093,-953,-325,-349
252,-383,15077,-953,-365,-315
255,-1363,14830,-1013,-341,-333
765,-1132,15045,-917,-311,-387
255,-1499,14543,-981,-353,-325
52,-622,14312,-937,-297,-379
-291,-698,15061,-957,-335,-369
255,116,14284,-873,-383,-329
255,-1299,14806,-969,-321,-311
255,255,14790,-881,-273,-333
255,255,14790,-881,-273,-305
236,255,14790,-989,-333,-305
248,-271,14535,-969,-353,-339
108,-766,14830,-957,-353,-355
255,-865,14583,-873,-309,-419
228,-1036,15101,-937,-347,-335
255,-550,15069,-949,-337,-381
510,-797,14830,-933,-393,-381
255,52,14790,-905,-325,-335
765,12,14814,-1005,-307,-389
52,-1132,14567,-945,-281,-341
255,255,14535,-1001,-315,-345
-347,-1140,14591,-821,-339,-317
510,-877,14822,-957,32,-325
510,-602,14543,-981,-339,-373
-311,-1084,14535,-953,-373,-379
1279,-407,13770,-905,-359,-371
1020,-853,14535,-897,-319,-309
1279,-1244,14328,-913,-335,-383
510,-511,14284,-861,-359,-373
-606,-801,15101,-861,-365,-361
-522,-1001,14284,-961,-257,-277
765,-766,15085,-989,-399,-367
255,-793,14591,-933,-433,-379
510,236,14822,-921,-329,-373
510,-319,15045,-949,-267,2
255,-467,14559,-961,-291,-361
765,-706,14567,-985,-327,-347
510,-1036,14838,-985,-299,-309
510,510,15093,-921,-301,-413
255,255,14296,-965,-341,-423
112,-714,15101,-945,-339,-357
-777,-626,14806,-925,29,-327
8,-1315,15356,-985,-297,-329
20,-1100,14814,-981,-357,-359
765,-893,15332,-993,-351,-365
765,-1291,14559,-909,-309,-317
-291,-849,14567,-901,-457,-331
1020,-734,15332,-1001,-281,-343
255,-1084,15101,-901,-289,-317
255,-670,14559,-941,-293,-287
510,208,14575,-985,-339,-403
255,-857,14535,-905,-381,-341
510,-1052,14567,-953,-261,-359
255,-626,14296,-929,-371,-287
510,-574,15093,-953,-265,-363
765,-1196,14822,-969,-329,-331
510,-945,14790,-937,-349,-393
255,-642,14543,-933,-393,-299
-347,-395,15069,-953,6,-373
765,48,14822,-897,-429,-313
510,255,14045,-993,-363,-365
1020,-295,15101,-889,-331,-325
510,-1156,14300,-1044,-331,-379
255,-315,14328,-965,-327,-365
765,-853,14806,-997,-315,-311
-275,-423,15053,-905,-267,-333
1020,-897,14583,-933,-299,-403
255,-1001,14830,-893,-303,-335
510,-327,14822,-981,-345,-407
510,-985,14814,-925,-301,-359
765,-582,14790,-913,-269,-341
255,-686,14806,-909,-373,-367
164,-901,14575,-941,-327,-379
-303,-877,14583,-937,-383,-339
510,40,14822,-941,-307,-267
510,-387,14535,-933,-295,-267
510,-387,14535,-933,-295,-335
255,128,14551,-857,-345,-359
252,-642,15053,-949,-371,-289
765,184,14328,-885,-375,-327
8,-303,15093,-981,-339,-411
510,-694,14846,-1001,-283,-375
80,16,14806,-933,-421,-333
-606,-973,13770,-901,-303,-371
232,-546,14575,-993,-309,-355
510,-694,14790,-965,-299,-385
255,-861,15053,-905,-281,-359
255,-451,14846,-969,-317,-269
510,12,15340,-913,-369,-365
255,-455,15077,-977,-307,-369
196,-678,14814,-1001,-279,-355
255,-1260,14790,-865,-413,-391
510,-785,15053,-937,-301,-313
765,-1092,14790,-949,-405,-407
510,-602,14806,-877,-315,-349
765,-339,14798,-973,-385,-355
255,-351,15085,-913,-295,-339
196,48,14583,-921,-363,-371
-347,-686,14073,-965,-321,-335
40,-829,15101,-1013,-355,-361
-514,-295,14806,-925,-263,-383
